"","tot_ext","pers_basals","pers_night","pers_cresp","pers_day","basal_bioms","night_biom","cresp_biom","day_biom","x","light","temperature","light.effect","S","fw","rep"
"1",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0,0,30,"N",1,1,1
"2",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.05,0.05,30,"N",1,1,1
"3",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.1,0.1,30,"N",1,1,1
"4",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.15,0.15,30,"N",1,1,1
"5",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.2,0.2,30,"N",1,1,1
"6",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.25,0.25,30,"N",1,1,1
"7",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.3,0.3,30,"N",1,1,1
"8",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.35,0.35,30,"N",1,1,1
"9",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.4,0.4,30,"N",1,1,1
"10",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.45,0.45,30,"N",1,1,1
"11",0.0166666666666667,0.05,NA,NA,NA,2.12800238539182,NA,NA,NA,0.5,0.5,30,"N",1,1,1
"12",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0,0,35,"N",1,1,1
"13",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.05,0.05,35,"N",1,1,1
"14",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.1,0.1,35,"N",1,1,1
"15",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.15,0.15,35,"N",1,1,1
"16",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.2,0.2,35,"N",1,1,1
"17",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.25,0.25,35,"N",1,1,1
"18",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.3,0.3,35,"N",1,1,1
"19",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.35,0.35,35,"N",1,1,1
"20",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.4,0.4,35,"N",1,1,1
"21",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.45,0.45,35,"N",1,1,1
"22",0.0333333333333333,0.1,NA,NA,NA,1.87219327862827,NA,NA,NA,0.5,0.5,35,"N",1,1,1
"23",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0,0,30,"C",1,1,1
"24",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.05,0.05,30,"C",1,1,1
"25",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.1,0.1,30,"C",1,1,1
"26",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.15,0.15,30,"C",1,1,1
"27",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.2,0.2,30,"C",1,1,1
"28",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.25,0.25,30,"C",1,1,1
"29",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.3,0.3,30,"C",1,1,1
"30",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.35,0.35,30,"C",1,1,1
"31",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.4,0.4,30,"C",1,1,1
"32",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.45,0.45,30,"C",1,1,1
"33",0.0166666666666667,0.05,NA,NA,NA,1.40977193896352,NA,NA,NA,0.5,0.5,30,"C",1,1,1
"34",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0,0,35,"C",1,1,1
"35",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.05,0.05,35,"C",1,1,1
"36",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.1,0.1,35,"C",1,1,1
"37",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.15,0.15,35,"C",1,1,1
"38",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.2,0.2,35,"C",1,1,1
"39",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.25,0.25,35,"C",1,1,1
"40",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.3,0.3,35,"C",1,1,1
"41",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.35,0.35,35,"C",1,1,1
"42",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.4,0.4,35,"C",1,1,1
"43",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.45,0.45,35,"C",1,1,1
"44",0.0333333333333333,0.1,NA,NA,NA,4.10097981810045,NA,NA,NA,0.5,0.5,35,"C",1,1,1
"45",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0,0,30,"C.N",1,1,1
"46",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.05,0.05,30,"C.N",1,1,1
"47",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.1,0.1,30,"C.N",1,1,1
"48",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.15,0.15,30,"C.N",1,1,1
"49",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.2,0.2,30,"C.N",1,1,1
"50",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.25,0.25,30,"C.N",1,1,1
"51",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.3,0.3,30,"C.N",1,1,1
"52",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.35,0.35,30,"C.N",1,1,1
"53",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.4,0.4,30,"C.N",1,1,1
"54",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.45,0.45,30,"C.N",1,1,1
"55",0.0333333333333333,0.1,NA,NA,NA,2.67820776825826,NA,NA,NA,0.5,0.5,30,"C.N",1,1,1
"56",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0,0,35,"C.N",1,1,1
"57",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.05,0.05,35,"C.N",1,1,1
"58",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.1,0.1,35,"C.N",1,1,1
"59",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.15,0.15,35,"C.N",1,1,1
"60",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.2,0.2,35,"C.N",1,1,1
"61",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.25,0.25,35,"C.N",1,1,1
"62",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.3,0.3,35,"C.N",1,1,1
"63",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.35,0.35,35,"C.N",1,1,1
"64",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.4,0.4,35,"C.N",1,1,1
"65",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.45,0.45,35,"C.N",1,1,1
"66",0.0166666666666667,0.05,NA,NA,NA,0.740036507955108,NA,NA,NA,0.5,0.5,35,"C.N",1,1,1
"67",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0,0,30,"N.D",1,1,1
"68",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.05,0.05,30,"N.D",1,1,1
"69",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.1,0.1,30,"N.D",1,1,1
"70",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.15,0.15,30,"N.D",1,1,1
"71",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.2,0.2,30,"N.D",1,1,1
"72",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.25,0.25,30,"N.D",1,1,1
"73",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.3,0.3,30,"N.D",1,1,1
"74",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.35,0.35,30,"N.D",1,1,1
"75",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.4,0.4,30,"N.D",1,1,1
"76",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.45,0.45,30,"N.D",1,1,1
"77",0.0166666666666667,0.05,NA,NA,NA,4.04034443373424,NA,NA,NA,0.5,0.5,30,"N.D",1,1,1
"78",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0,0,35,"N.D",1,1,1
"79",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.05,0.05,35,"N.D",1,1,1
"80",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.1,0.1,35,"N.D",1,1,1
"81",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.15,0.15,35,"N.D",1,1,1
"82",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.2,0.2,35,"N.D",1,1,1
"83",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.25,0.25,35,"N.D",1,1,1
"84",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.3,0.3,35,"N.D",1,1,1
"85",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.35,0.35,35,"N.D",1,1,1
"86",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.4,0.4,35,"N.D",1,1,1
"87",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.45,0.45,35,"N.D",1,1,1
"88",0.0166666666666667,0.05,NA,NA,NA,1.20639680574636,NA,NA,NA,0.5,0.5,35,"N.D",1,1,1
